city_id,city_name_nl,city_name_en,city_name_fr,city_name_de,province_or_region,count_boroughs,pop_in_2000,pop_in_2024,area_km2,pop_per_km2,prosperity_index,pop_increase_2024v2000_percent
59,Turnhout,Turnhout,Turnhout,Turnhout,Antwerpen,1,38596,47305,56.71,834,92.8,22.56
199,Zutendaal,Zutendaal,Zutendaal,Zutendaal,Limburg,1,6755,7384,32.11,230,106.4,9.31
236,Hannuit,Hannut,Hannut,Hannut,Luik,18,13242,17134,86.49,198,107.9,29.39
318,Rouvroy,Rouvroy,Rouvroy,Rouvroy,Luxemburg,4,1877,2144,28.1,76,92.7,14.22
447,Haacht,Haacht,Haacht,Haacht,Vlaams-Brabant,3,13158,15516,30.74,505,123.8,17.92
452,Hoeilaart,Hoeilaart,Hoeilaart,Hoeilaart,Vlaams-Brabant,1,9783,11636,20.53,567,126.9,18.94
518,Waterloo,Waterloo,Waterloo,Waterloo,Waals-Brabant,1,28986,30596,21.32,1435,127.3,5.55
539,Ichtegem,Ichtegem,Ichtegem,Ichtegem,West-Vlaanderen,3,13242,14516,45.78,317,98.5,9.62
39,Meerhout,Meerhout,Meerhout,Meerhout,Antwerpen,1,9192,10396,36.54,285,106.2,13.1
97,Binche,Binche,Binche,Binche,Henegouwen,8,32190,33651,61.22,550,89.4,4.54
144,Pecq,Pecq,Pecq,Pecq,Henegouwen,5,5157,5966,33.15,180,95.8,15.69
164,Bree,Bree,Bree,Bree,Limburg,5,14001,16967,64.98,261,99.4,21.18
180,Kinrooi,Kinrooi,Kinrooi,Kinrooi,Limburg,4,11749,12406,54.8,226,96.1,5.59
311,Meix-devant-Virton,Meix-devant-Virton,Meix-devant-Virton,Meix-devant-Virton,Luxemburg,5,2691,2819,54.97,51,95.7,4.76
344,Gedinne,Gedinne,Gedinne,Gedinne,Namen,12,4344,4681,151.56,31,86.5,7.76
346,Gesves,Gesves,Gesves,Gesves,Namen,5,5767,7481,65.03,115,109.9,29.72
370,Berlare,Berlare,Berlare,Berlare,Oost-Vlaanderen,3,13679,15486,38.23,405,109.1,13.21
411,Sint-Laureins,Sint-Laureins,Sint-Laureins,Sint-Laureins,Oost-Vlaanderen,5,6513,7016,74.54,94,105.9,7.72
522,Ardooie,Ardooie,Ardooie,Ardooie,West-Vlaanderen,2,9508,9355,34.92,268,101.6,-1.61
3,Arendonk,Arendonk,Arendonk,Arendonk,Antwerpen,1,11805,13391,55.15,243,98.0,13.43
7,Berlaar,Berlaar,Berlaar,Berlaar,Antwerpen,2,10150,12061,24.53,492,107.0,18.83
110,Dour,Dour,Dour,Dour,Henegouwen,4,16865,16567,33.62,493,82.1,-1.77
121,Frasnes-lez-Anvaing,Frasnes-lez-Anvaing,Frasnes-lez-Anvaing,Frasnes-lez-Anvaing,Henegouwen,14,10872,12134,112.86,108,100.0,11.61
166,Dilsen-Stokkem,Dilsen-Stokkem,Dilsen-Stokkem,Dilsen-Stokkem,Limburg,5,18187,21346,65.89,324,95.7,17.37
190,Peer,Peer,Peer,Peer,Limburg,4,15251,16585,87.24,190,100.1,8.75
196,Voeren,Voeren,Fourons,Voeren,Limburg,6,4315,4406,50.61,87,100.0,2.11
283,Welkenraedt,Welkenraedt,Welkenraedt,Welkenraedt,Luik,2,8801,10464,24.72,423,95.1,18.9
354,Namen,Namur,Namur,Namur,Namen,25,105419,114142,175.93,649,97.6,8.27
394,Lebbeke,Lebbeke,Lebbeke,Lebbeke,Oost-Vlaanderen,3,17234,20059,27.3,735,108.8,16.39
412,Sint-Lievens-Houtem,Sint-Lievens-Houtem,Sint-Lievens-Houtem,Sint-Lievens-Houtem,Oost-Vlaanderen,5,9171,10687,27.05,395,115.1,16.53
475,Pepingen,Pepingen,Pepingen,Pepingen,Vlaams-Brabant,6,4247,4592,35.93,128,123.7,8.12
482,Ternat,Ternat,Ternat,Ternat,Vlaams-Brabant,3,14418,16578,24.71,671,115.2,14.98
17,Edegem,Edegem,Edegem,Edegem,Antwerpen,1,22253,23009,8.72,2639,124.4,3.4
41,Mol,Mol,Mol,Mol,Antwerpen,1,31683,38534,114.55,336,104.6,21.62
138,Moeskroen,Mouscron,Mouscron,Mouscron,Henegouwen,4,52492,59987,40.62,1477,82.3,14.28
140,Mont-de-l’Enclus,Mont-de-l’Enclus,Mont-de-l’Enclus,Mont-de-l’Enclus,Henegouwen,4,3172,3879,27.16,143,100.6,22.29
165,Diepenbeek,Diepenbeek,Diepenbeek,Diepenbeek,Limburg,1,17173,19607,41.41,473,107.4,14.17
218,Chaudfontaine,Chaudfontaine,Chaudfontaine,Chaudfontaine,Luik,4,20607,20600,25.46,809,127.0,-0.03
334,Cerfontaine,Cerfontaine,Cerfontaine,Cerfontaine,Namen,6,4334,4991,83.44,60,93.7,15.16
401,Maldegem,Maldegem,Maldegem,Maldegem,Oost-Vlaanderen,3,22036,24744,95.63,259,105.0,12.29
404,Moerbeke,Moerbeke,Moerbeke,Moerbeke,Oost-Vlaanderen,1,5753,6758,37.93,178,109.5,17.47
418,Waasmunster,Waasmunster,Waasmunster,Waasmunster,Oost-Vlaanderen,1,10237,11296,32.27,350,125.4,10.34
474,Overijse,Overijse,Overijse,Overijse,Vlaams-Brabant,1,23738,25970,44.99,577,129.1,9.4
517,Walhain,Walhain,Walhain,Walhain,Waals-Brabant,3,5412,7607,38.08,200,119.1,40.56
26,Hoogstraten,Hoogstraten,Hoogstraten,Hoogstraten,Antwerpen,5,17751,22278,105.39,211,99.9,25.5
31,Kasterlee,Kasterlee,Kasterlee,Kasterlee,Antwerpen,3,17554,19648,72.27,272,113.9,11.93
44,Nijlen,Nijlen,Nijlen,Nijlen,Antwerpen,3,20423,23707,39.2,605,110.5,16.08
56,Schoten,Schoten,Schoten,Schoten,Antwerpen,1,32733,34641,29.51,1174,116.7,5.83
270,Stavelot,Stavelot,Stavelot,Stavelot,Luik,2,6479,7271,85.14,85,94.5,12.22
343,Fosses-la-Ville,Fosses-la-Ville,Fosses-la-Ville,Fosses-la-Ville,Namen,6,8750,10418,63.31,165,97.2,19.06
348,Hastière,Hastière,Hastière,Hastière,Namen,7,4976,6148,56.59,109,82.9,23.55
366,Yvoir,Yvoir,Yvoir,Yvoir,Namen,9,7914,9136,57.11,160,104.7,15.44
414,Sint-Niklaas,Sint-Niklaas,Sint-Niklaas,Sint-Niklaas,Oost-Vlaanderen,4,68290,81863,84.2,972,96.6,19.88
439,Diest,Diest,Diest,Diest,Vlaams-Brabant,6,22132,24971,58.72,425,110.4,12.83
451,Hoegaarden,Hoegaarden,Hoegaarden,Hoegaarden,Vlaams-Brabant,3,6014,6873,34.13,201,121.3,14.28
467,Londerzeel,Londerzeel,Londerzeel,Londerzeel,Vlaams-Brabant,3,17153,19404,36.53,531,117.6,13.12
568,Ruiselede,Ruiselede,Ruiselede,Ruiselede,West-Vlaanderen,1,5048,5484,30.62,179,102.0,8.64
570,Staden,Staden,Staden,Staden,West-Vlaanderen,3,10986,11677,46.82,249,96.2,6.29
572,Torhout,Torhout,Torhout,Torhout,West-Vlaanderen,1,18838,20965,45.32,463,103.4,11.29
109,Doornik,Tournai,Tournai,Tournai,Henegouwen,30,67379,68554,215.34,318,93.8,1.74
143,Opzullik,Silly,Silly,Silly,Henegouwen,8,7471,8475,68.57,124,112.8,13.44
146,Péruwelz,Péruwelz,Péruwelz,Péruwelz,Henegouwen,10,16867,17318,61.0,284,87.3,2.67
153,Sivry-Rance,Sivry-Rance,Sivry-Rance,Sivry-Rance,Henegouwen,5,4506,4871,73.56,66,87.9,8.1
154,Thuin,Thuin,Thuin,Thuin,Henegouwen,8,14603,14871,76.65,194,101.4,1.84
263,Saint-Nicolas,Saint-Nicolas,Saint-Nicolas,Saint-Nicolas,Luik,3,23171,24491,6.91,3544,73.6,5.7
266,Seraing,Seraing,Seraing,Seraing,Luik,4,60557,64266,35.25,1823,76.1,6.12
457,Keerbergen,Keerbergen,Keerbergen,Keerbergen,Vlaams-Brabant,1,11992,13298,18.54,717,149.9,10.89
465,Linkebeek,Linkebeek,Linkebeek,Linkebeek,Vlaams-Brabant,1,4751,4674,4.19,1116,123.9,-1.62
485,Tienen,Tienen,Tirlemont,Tienen,Vlaams-Brabant,9,31479,36581,72.77,503,104.2,16.21
