household_id,city_id,household_type_en,total_households,total_households_with_car,household_hascar_perc_of_total,cardata_year
371,75,1 person Household,4838,1777,36.73,2017
516,104,1 person Household,1643,889,54.11,2017
846,170,1 person Household,1081,685,63.37,2017
1101,221,1 person Household,387,256,66.15,2017
1796,360,1 person Household,4176,2089,50.02,2017
2031,407,1 person Household,1331,855,64.24,2017
3086,36,1 person Household,792,521,65.78,2018
3611,141,1 person Household,1497,940,62.79,2018
3621,143,1 person Household,835,578,69.22,2018
3626,144,1 person Household,732,459,62.7,2018
3831,185,1 person Household,1483,964,65.0,2018
3866,192,1 person Household,1782,1081,60.66,2018
4236,266,1 person Household,12428,5921,47.64,2018
4451,309,1 person Household,2506,1444,57.62,2018
5296,479,1 person Household,1755,1161,66.15,2018
5381,496,1 person Household,1153,756,65.57,2018
5476,515,1 person Household,3080,1669,54.19,2018
5636,547,1 person Household,1356,809,59.66,2018
5651,550,1 person Household,851,515,60.52,2018
5671,554,1 person Household,324,204,62.96,2018
6121,61,1 person Household,1069,638,59.68,2019
6611,159,1 person Household,846,548,64.78,2019
7176,272,1 person Household,1605,1078,67.17,2019
7186,274,1 person Household,266,190,71.43,2019
7221,281,1 person Household,354,231,65.25,2019
7251,287,1 person Household,2373,1314,55.37,2019
7636,364,1 person Household,579,309,53.37,2019
7766,390,1 person Household,814,512,62.9,2019
8296,497,1 person Household,4888,3047,62.34,2019
8536,545,1 person Household,1071,651,60.78,2019
8771,9,1 person Household,1603,989,61.7,2020
8846,24,1 person Household,1143,685,59.93,2020
9161,87,1 person Household,11063,3415,30.87,2020
9486,152,1 person Household,1470,950,64.63,2020
9496,154,1 person Household,2343,1459,62.27,2020
9796,214,1 person Household,363,252,69.42,2020
9861,227,1 person Household,3722,2031,54.57,2020
9916,238,1 person Household,2279,1483,65.07,2020
10781,411,1 person Household,840,504,60.0,2020
11036,463,1 person Household,24401,8138,33.35,2020
11301,516,1 person Household,1068,727,68.07,2020
11566,569,1 person Household,266,162,60.9,2020
11671,7,1 person Household,1360,823,60.51,2021
12196,112,1 person Household,1997,1059,53.03,2021
12676,208,1 person Household,354,230,64.97,2021
13136,300,1 person Household,988,622,62.96,2021
13466,366,1 person Household,1336,870,65.12,2021
14421,558,1 person Household,4515,2171,48.08,2021
14776,46,1 person Household,1465,948,64.71,2022
15061,103,1 person Household,38689,17244,44.57,2022
15226,136,1 person Household,3253,1777,54.63,2022
15281,147,1 person Household,3018,1543,51.13,2022
15556,202,1 person Household,4680,2465,52.67,2022
15801,251,1 person Household,496,365,73.59,2022
